hjd,mag,mag_unc
4827.60968,11.013,0.032
4830.60602,11.248,0.039
4838.574,10.772,0.042
4847.57738,11.075,0.049
4850.57215,10.826,0.041
4853.56813,10.808,0.036
4860.54147,10.841,0.035
4987.8948,11.225,0.043
4991.90637,10.983,0.048
5013.88141,10.845,0.044
5017.88185,10.828,0.049
5020.89332,10.921,0.049
5023.88077,10.985,0.045
5041.89185,10.914,0.034
5048.76323,10.872,0.039
5072.84732,10.896,0.04
5075.75007,10.893,0.047
5084.72737,10.851,0.041
5089.70713,10.972,0.038
5104.69222,10.844,0.044
5111.64756,10.85,0.04
5116.80045,10.83,0.04
5132.79488,10.97,0.044
5155.7327,10.855,0.047
