KIC_ID,KOI_ID,Planet_Radius,Planet_Radius_err_upper,Planet_Radius_err_lower,Incident_Flux,Incident_Flux_err_upper,Incident_Flux_err_lower,AO_Binary_Flag
11705004,K02199.02,1.10017700907343,0.117990311814963,0.125850816573615,246.514508134067,23.0631006569997,20.8083624990337,0
10909127,K02200.01,1.47489735009431,0.225015119960525,0.186191367767514,245.904261955581,16.6306605768036,15.4491110508927,0
4144576,K02202.01,1.04202182613544,0.067187464049878,0.0471414019735067,1717.27602052893,50.8754552198347,49.2899062394858,0
8494542,K02204.01,2.4217147291566,0.206652951187868,0.192729966742303,479.674824566867,24.6441507343179,23.2731082838188,0
9992325,K02205.01,2.60945035887556,0.887917573315538,0.387183569904263,13.0509131353217,0.547939350203526,0.523059475926581,0
11073656,K02206.01,1.43727916071973,0.1237859595561,0.122595066539069,826.367550021403,56.2187558234245,52.1320707302021,1
10531955,K02208.01,0.979722878069797,0.134853379276484,0.107897463654717,1146.95322621298,25.0071123932787,24.5212686749842,0
8168187,K02209.01,2.63285290902918,0.402639562091292,0.259108345029135,147.81708938768,8.62507255757633,8.06753962228793,0
8168187,K02209.02,2.11079656767043,0.6669721398351,0.277016173465061,61.1527065481368,3.56823783538666,3.3375835306385,0
4142847,K02210.01,1.50770937371266,0.0687067021107813,0.208983848397644,173.056252216999,6.86126770306086,6.56035422286237,0
4142847,K02210.02,2.88743928331478,0.540782202163116,0.239283493515134,0.567789450806429,0.0225114976838389,0.0215242146618542,0
10203349,K02212.01,2.83132125582451,0.147507940882637,0.530794568984979,62.0610941283905,3.99544909107382,3.7154084065817,0
10328458,K02214.01,1.21956979515022,0.122765344880276,0.0956736602156431,227.961718403787,13.624453436497,12.7370062933018,0
4248120,K02216.01,2.43210776977661,0.235748029019173,0.194684149848583,37.531081570883,2.4783404309766,2.30452253647502,0
9580992,K02217.01,2.75672724830825,0.255203446093916,0.827087275886365,9.33100786559962,0.416620888566687,0.397693281832474,0
12058204,K02218.01,2.16599815556001,0.130680884017827,0.114893403368675,453.872144888857,23.5353519396679,22.2943608301749,0
12058204,K02218.02,1.9346173282875,0.136500797324741,0.163359446297803,103.755688972937,5.38020824414939,5.09651626387536,0
6871071,K02220.01,1.62712860172335,0.108064165545092,0.0900634781122158,966.591270757933,62.3549002188368,58.0391643343363,0
6871071,K02220.02,1.84947476235085,0.107974589192069,0.113401631970287,548.098634134846,35.3578980852581,32.9106910649354,0
6871071,K02220.03,1.57417471231815,0.10185606908113,0.0924784270522998,2014.66091625367,129.96597859743,120.970713820666,0
6871071,K02220.04,1.45909026517333,0.104678452783591,0.107048584960495,312.338211671474,20.1489694894856,18.7544097939958,0
6871071,K02220.05,1.60697001882478,0.112090727770029,0.137405596255195,189.769166631552,12.2420280504329,11.3947272036528,0
6287313,K02221.01,2.30291961874037,0.222135177961883,0.220386252564207,206.562774045203,23.7964436398306,20.8479161094333,0
9289704,K02222.01,3.60035989142392,0.439453336304264,0.410684347546866,86.5123346862032,5.43658344750477,5.03966856516978,1
9278725,K02223.01,1.52728822811722,0.128153014285452,0.117959460910187,815.407070507017,34.8327108824694,33.2467507053531,0
8892157,K02224.01,1.92651942568399,0.117559918434953,0.262873560970429,653.830707981531,56.8414709380545,51.5455098051661,0
8892157,K02224.02,2.0814630190473,0.273999244709106,0.389716251802574,10.2323229943059,0.889557928389704,0.806677170090209,0
11569782,K02225.01,0.917995822882259,0.0851108796293256,0.0701204818146302,153.741386758176,3.59919257514186,3.53011802404676,0
